,<function mink0p5 at 0x000001CD04AC71F0>,<function mink0p75 at 0x000001CD18E3D9D0>,cityblock,<function mink1p5 at 0x000001CD28552DC0>,euclidean,<function mink2p5 at 0x000001CD28552F70>,<function mink3 at 0x000001CD28557040>,<function mink5 at 0x000001CD285570D0>,chebyshev,braycurtis,hamming
<function mink0p5 at 0x000001CD04AC71F0>,0.0,0.03833130627568204,0.045119416474624585,0.04770419110949631,0.12460657781158052,0.1624181392593843,0.1624181392593843,0.1278935705958243,0.10443307771696114,0.11209272573019913,0.024105870234445104
<function mink0p75 at 0x000001CD18E3D9D0>,0.03833130627568204,0.0,0.045119416474624585,0.041453086053502064,0.122553565470502,0.14114381872942183,0.1463775580396478,0.122553565470502,0.10304762377303539,0.1085850340220883,0.041453086053502064
cityblock,0.045119416474624585,0.045119416474624585,0.0,0.04228479479151093,0.12460657781158052,0.17330177815346398,0.17591864780857697,0.13258047603103174,0.0939427542566138,0.11815842551053773,0.045119416474624585
<function mink1p5 at 0x000001CD28552DC0>,0.04770419110949631,0.041453086053502064,0.04228479479151093,0.0,0.12460657781158052,0.17330177815346398,0.17591864780857697,0.13258047603103174,0.10443307771696114,0.11815842551053773,0.05862696245648891
euclidean,0.12460657781158052,0.122553565470502,0.12460657781158052,0.12460657781158052,0.0,0.09739040068376692,0.10262413999399289,0.07317783334042888,0.07395070730424225,0.10160496452073642,0.12460657781158052
<function mink2p5 at 0x000001CD28552F70>,0.1624181392593843,0.14114381872942183,0.17330177815346398,0.17330177815346398,0.09739040068376692,0.0,0.04144641040886238,0.08144260424486449,0.16774964437384943,0.10980492203006331,0.17330177815346398
<function mink3 at 0x000001CD28557040>,0.1624181392593843,0.1463775580396478,0.17591864780857697,0.17591864780857697,0.10262413999399289,0.04144641040886238,0.0,0.08667634355509046,0.16774964437384943,0.10980492203006331,0.17591864780857697
<function mink5 at 0x000001CD285570D0>,0.1278935705958243,0.122553565470502,0.13258047603103174,0.13258047603103174,0.07317783334042888,0.08144260424486449,0.08667634355509046,0.0,0.08934532613550772,0.10980492203006331,0.13258047603103174
chebyshev,0.10443307771696114,0.10304762377303539,0.0939427542566138,0.10443307771696114,0.07395070730424225,0.16774964437384943,0.16774964437384943,0.08934532613550772,0.0,0.10499279225389546,0.10443307771696114
braycurtis,0.11209272573019913,0.1085850340220883,0.11815842551053773,0.11815842551053773,0.10160496452073642,0.10980492203006331,0.10980492203006331,0.10980492203006331,0.10499279225389546,0.0,0.11815842551053773
hamming,0.024105870234445104,0.041453086053502064,0.045119416474624585,0.05862696245648891,0.12460657781158052,0.17330177815346398,0.17591864780857697,0.13258047603103174,0.10443307771696114,0.11815842551053773,0.0
