,<function mink0p5 at 0x000001FF274171F0>,<function mink0p75 at 0x000001FF3B79E9D0>,cityblock,<function mink1p5 at 0x000001FF4AEB2DC0>,euclidean,<function mink2p5 at 0x000001FF4AEB2F70>,<function mink3 at 0x000001FF4AEB7040>,<function mink5 at 0x000001FF4AEB70D0>,chebyshev,braycurtis,hamming
<function mink0p5 at 0x000001FF274171F0>,0.0,0.10124497888113759,0.1068737734806619,0.23544435848314604,0.21203471020381925,0.21203471020381925,0.21382805653295978,0.24538827012034536,0.1204447217917862,0.10555747664915899,0.1666666567325592
<function mink0p75 at 0x000001FF3B79E9D0>,0.10124497888113759,0.0,0.0770903776828038,0.2581109481164958,0.2495682560169351,0.23944063881350613,0.23925507977578958,0.27615418606472064,0.07751465690214432,0.14075520698702892,0.2024348467272832
cityblock,0.1068737734806619,0.0770903776828038,0.0,0.31374247050390025,0.2790774032568666,0.26659204874755466,0.27710201645967275,0.3083610158182998,0.03935394309650353,0.14899683940061526,0.19831393644612894
<function mink1p5 at 0x000001FF4AEB2DC0>,0.23544435848314604,0.2581109481164958,0.31374247050390025,0.0,0.05362017825657195,0.07532188735352174,0.08210444254016813,0.12404257642421901,0.312223109666833,0.28607183006584513,0.3197102629648475
euclidean,0.21203471020381925,0.2495682560169351,0.2790774032568666,0.05362017825657195,0.0,0.03825706355606928,0.0656358643349313,0.10076742527734284,0.2827944625803918,0.28014804162986284,0.2902995008851666
<function mink2p5 at 0x000001FF4AEB2F70>,0.21203471020381925,0.23944063881350613,0.26659204874755466,0.07532188735352174,0.03825706355606928,0.0,0.04112407143322272,0.0830622053172736,0.267981580292963,0.270818928590003,0.2791270942097388
<function mink3 at 0x000001FF4AEB7040>,0.21382805653295978,0.23925507977578958,0.27710201645967275,0.08210444254016813,0.0656358643349313,0.04112407143322272,0.0,0.05484446154493605,0.2825396610117882,0.2698417317541712,0.285833764380664
<function mink5 at 0x000001FF4AEB70D0>,0.24538827012034536,0.27615418606472064,0.3083610158182998,0.12404257642421901,0.10076742527734284,0.0830622053172736,0.05484446154493605,0.0,0.30681094910321993,0.29619060283460674,0.3006205024109606
chebyshev,0.1204447217917862,0.07751465690214432,0.03935394309650353,0.312223109666833,0.2827944625803918,0.267981580292963,0.2825396610117882,0.30681094910321993,0.0,0.15140327917783025,0.1836507773379833
braycurtis,0.10555747664915899,0.14075520698702892,0.14899683940061526,0.28607183006584513,0.28014804162986284,0.270818928590003,0.2698417317541712,0.29619060283460674,0.15140327917783025,0.0,0.1666666567325592
hamming,0.1666666567325592,0.2024348467272832,0.19831393644612894,0.3197102629648475,0.2902995008851666,0.2791270942097388,0.285833764380664,0.3006205024109606,0.1836507773379833,0.1666666567325592,0.0
