,<function mink0p5 at 0x0000012BD1DF71F0>,<function mink0p75 at 0x0000012BE616D9D0>,cityblock,<function mink1p5 at 0x0000012BF5881DC0>,euclidean,<function mink2p5 at 0x0000012BF5881F70>,<function mink3 at 0x0000012BF5887040>,<function mink5 at 0x0000012BF58870D0>,chebyshev,braycurtis,hamming
<function mink0p5 at 0x0000012BD1DF71F0>,0.0,0.02504823675878476,0.02228816148188606,0.023108688212324147,0.03527707322042628,0.04070715657667068,0.04295636114279178,0.03816606252952082,0.048906604314762486,0.05567853012909507,0.02970948385694505
<function mink0p75 at 0x0000012BE616D9D0>,0.02504823675878476,0.0,0.02901255936420105,0.026467318289100317,0.030156261947091534,0.03683385549116536,0.040492318203494415,0.03792833748778024,0.0466268761303166,0.0652480637529031,0.02901255936420105
cityblock,0.02228816148188606,0.02901255936420105,0.0,0.021300842784136576,0.04167665668436327,0.049843114693592816,0.056616693435285526,0.03402047646490114,0.048906604314762486,0.05744379191510429,0.02228816148188606
<function mink1p5 at 0x0000012BF5881DC0>,0.023108688212324147,0.026467318289100317,0.021300842784136576,0.0,0.03807081684967717,0.04366716659943792,0.04366716659943792,0.040692210222220526,0.04639654759851786,0.04517497661113812,0.025764923925761296
euclidean,0.03527707322042628,0.030156261947091534,0.04167665668436327,0.03807081684967717,0.0,0.025941953437746967,0.030115062170380624,0.03507400864160626,0.04338931936980922,0.0652480637529031,0.04651193575781465
<function mink2p5 at 0x0000012BF5881F70>,0.04070715657667068,0.03683385549116536,0.049843114693592816,0.04366716659943792,0.025941953437746967,0.0,0.027603170362565987,0.04064158692879316,0.042483050803567624,0.0652480637529031,0.05466582832236211
<function mink3 at 0x0000012BF5887040>,0.04295636114279178,0.040492318203494415,0.056616693435285526,0.04366716659943792,0.030115062170380624,0.027603170362565987,0.0,0.054448863970078865,0.04186472598120122,0.0652480637529031,0.06156946684300496
<function mink5 at 0x0000012BF58870D0>,0.03816606252952082,0.03792833748778024,0.03402047646490114,0.040692210222220526,0.03507400864160626,0.04064158692879316,0.054448863970078865,0.0,0.04186472598120122,0.0652480637529031,0.040692210222220526
chebyshev,0.048906604314762486,0.0466268761303166,0.048906604314762486,0.04639654759851786,0.04338931936980922,0.042483050803567624,0.04186472598120122,0.04186472598120122,0.0,0.0652480637529031,0.051300724917206775
braycurtis,0.05567853012909507,0.0652480637529031,0.05744379191510429,0.04517497661113812,0.0652480637529031,0.0652480637529031,0.0652480637529031,0.0652480637529031,0.0652480637529031,0.0,0.0652480637529031
hamming,0.02970948385694505,0.02901255936420105,0.02228816148188606,0.025764923925761296,0.04651193575781465,0.05466582832236211,0.06156946684300496,0.040692210222220526,0.051300724917206775,0.0652480637529031,0.0
