,<function mink0p5 at 0x0000018972CFCEE0>,cityblock,<function mink1p5 at 0x000001890697CA60>,euclidean,<function mink2p5 at 0x00000189161E0E50>,<function mink3 at 0x00000189161E7040>,<function mink5 at 0x00000189161E70D0>,chebyshev,cosine,mahalanobis,hamming
<function mink0p5 at 0x0000018972CFCEE0>,0.0,1.6819984912872314,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565,1.9890298545360565
cityblock,1.6819984912872314,0.0,0.4320995807647705,0.49085330963134766,0.5524580478668213,0.5647711753845215,0.7159247398376465,0.7300000190734863,1.229999989271164,1.229999989271164,1.229999989271164
<function mink1p5 at 0x000001890697CA60>,1.9890298545360565,0.4320995807647705,0.0,0.05875372886657715,0.12035846710205078,0.13267159461975098,0.283825159072876,0.2979004383087158,1.0184967815876007,0.8341957330703735,1.0184967815876007
euclidean,1.9890298545360565,0.49085330963134766,0.05875372886657715,0.0,0.06160473823547363,0.07391786575317383,0.22507143020629883,0.23914670944213867,1.0021825730800629,0.7754420042037964,1.0021825730800629
<function mink2p5 at 0x00000189161E0E50>,1.9890298545360565,0.5524580478668213,0.12035846710205078,0.06160473823547363,0.0,0.018733233213424683,0.1634666919708252,0.17754197120666504,0.9565019607543945,0.7138372659683228,0.9843427389860153
<function mink3 at 0x00000189161E7040>,1.9890298545360565,0.5647711753845215,0.13267159461975098,0.07391786575317383,0.018733233213424683,0.0,0.151153564453125,0.16522884368896484,0.9441888332366943,0.7015241384506226,0.9854264557361603
<function mink5 at 0x00000189161E70D0>,1.9890298545360565,0.7159247398376465,0.283825159072876,0.22507143020629883,0.1634666919708252,0.151153564453125,0.0,0.025000005960464478,0.7930352687835693,0.5503705739974976,0.9197050034999847
chebyshev,1.9890298545360565,0.7300000190734863,0.2979004383087158,0.23914670944213867,0.17754197120666504,0.16522884368896484,0.025000005960464478,0.0,0.7789599895477295,0.5362952947616577,0.9149999916553497
cosine,1.9890298545360565,1.229999989271164,1.0184967815876007,1.0021825730800629,0.9565019607543945,0.9441888332366943,0.7930352687835693,0.7789599895477295,0.0,0.3371941056102514,0.7405813289806247
mahalanobis,1.9890298545360565,1.229999989271164,0.8341957330703735,0.7754420042037964,0.7138372659683228,0.7015241384506226,0.5503705739974976,0.5362952947616577,0.3371941056102514,0.0,0.6933166235685349
hamming,1.9890298545360565,1.229999989271164,1.0184967815876007,1.0021825730800629,0.9843427389860153,0.9854264557361603,0.9197050034999847,0.9149999916553497,0.7405813289806247,0.6933166235685349,0.0
