,mink0p5,mink0p75,cityblock,mink1p5,euclidean,mink2p5,mink3,mink5,chebyshev,braycurtis,hamming
mink0p5,0,0.076704406,0.1406069287447715,0.2887134054088386,0.40302991463003845,0.43453856778864886,0.44754555188063105,0.4880928185807646,0.4880928185807646,0.14765878386495934,0.11955500952785508
mink0p75,0.076704406,0,0.097274781,0.2257696988921078,0.3497463002966848,0.38974661548004064,0.41140658772401695,0.45717218,0.45717218,0.098832124,0.064285713
cityblock,0.1406069287447715,0.097274781,0,0.14810647666406712,0.2720830780686441,0.3499205740345882,0.3602696461691038,0.4183640316725705,0.4183640316725705,0.029628053951702482,0.097274781
mink1p5,0.2887134054088386,0.2257696988921078,0.14810647666406712,0,0.123976601,0.2193863060556588,0.27317075296459553,0.3209469600487911,0.3464022584699017,0.14201954658458038,0.16967062082858655
euclidean,0.40302991463003845,0.3497463002966848,0.2720830780686441,0.123976601,0,0.095409705,0.16241942222995787,0.24645067686104355,0.2868339737395469,0.26503122294845627,0.29364722223316353
mink2p5,0.43453856778864886,0.38974661548004064,0.3499205740345882,0.2193863060556588,0.095409705,0,0.067009718,0.19696081346034466,0.242939171,0.348016574,0.3644888283789438
mink3,0.44754555188063105,0.41140658772401695,0.3602696461691038,0.27317075296459553,0.16241942222995787,0.067009718,0,0.1562434435016129,0.20981688198760395,0.35871155161353474,0.3806016797895133
mink5,0.4880928185807646,0.45717218,0.4183640316725705,0.3209469600487911,0.24645067686104355,0.19696081346034466,0.1562434435016129,0,0.1316951602367975,0.4174120317621919,0.42857142629063855
chebyshev,0.4880928185807646,0.45717218,0.4183640316725705,0.3464022584699017,0.2868339737395469,0.242939171,0.20981688198760395,0.1316951602367975,0,0.4174120317621919,0.42857142629063855
braycurtis,0.14765878386495934,0.098832124,0.029628053951702482,0.14201954658458038,0.26503122294845627,0.348016574,0.35871155161353474,0.4174120317621919,0.4174120317621919,0,0.098832124
hamming,0.11955500952785508,0.064285713,0.097274781,0.16967062082858655,0.29364722223316353,0.3644888283789438,0.3806016797895133,0.42857142629063855,0.42857142629063855,0.098832124,0
