,cityblock,<function mink1p5 at 0x0000016CB36D2E50>,euclidean,<function mink2p5 at 0x0000016CB36D8040>,<function mink3 at 0x0000016CB36D80D0>,<function mink5 at 0x0000016CB36D8160>,chebyshev,braycurtis,hamming,<function discrete at 0x0000016CB36D81F0>
cityblock,0.0,0.8246593475341797,1.0249998569488525,1.0249998569488525,1.0249998569488525,1.0249998569488525,1.0249998569488525,1.0249998569488525,1.0249998569488525,1.0249998569488525
<function mink1p5 at 0x0000016CB36D2E50>,0.8246593475341797,0.0,0.7109146118164062,0.7109146118164062,0.7109146118164062,0.7109146118164062,0.7109146118164062,0.7109146118164062,0.7109146118164062,0.7109146118164062
euclidean,1.0249998569488525,0.7109146118164062,0.0,0.3433980941772461,0.3433980941772461,0.3433980941772461,0.3433980941772461,0.3433980941772461,0.3433980941772461,0.3433980941772461
<function mink2p5 at 0x0000016CB36D8040>,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.0,0.18532133102416992,0.18532133102416992,0.18532133102416992,0.18532133102416992,0.18532133102416992,0.18532133102416992
<function mink3 at 0x0000016CB36D80D0>,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.0,0.12506794929504395,0.12506794929504395,0.12506794929504395,0.12506794929504395,0.12506794929504395
<function mink5 at 0x0000016CB36D8160>,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.12506794929504395,0.0,0.05833187699317932,0.08144576847553253,0.08144576847553253,0.08144576847553253
chebyshev,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.12506794929504395,0.05833187699317932,0.0,0.10500001907348633,0.10500001907348633,0.10500001907348633
braycurtis,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.12506794929504395,0.08144576847553253,0.10500001907348633,0.0,0.029314786195755005,0.029314786195755005
hamming,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.12506794929504395,0.08144576847553253,0.10500001907348633,0.029314786195755005,0.0,0.0
<function discrete at 0x0000016CB36D81F0>,1.0249998569488525,0.7109146118164062,0.3433980941772461,0.18532133102416992,0.12506794929504395,0.08144576847553253,0.10500001907348633,0.029314786195755005,0.0,0.0
